transaction_id,amount,description,merchant,transaction_date,category,account_id
TXN000086,386.7,Electric bill payment,bill payment,2024-01-02,Utilities,ACC5291
TXN000087,278.08,Amazon online purchase,online purchase,2024-03-23,Shopping,ACC8007
TXN000088,60.38,Lunch at Olive Garden,at Olive,2024-10-14,Restaurant,ACC3442
TXN000089,418.12,Lunch at Olive Garden,at Olive,2024-10-06,Restaurant,ACC3426
TXN000090,25.71,Shell gas station,gas station,2024-08-08,Gas,ACC6974
TXN000091,108.99,Electric bill payment,bill payment,2024-01-21,Utilities,ACC5088
TXN000092,180.07,Walmart grocery shopping,grocery shopping,2024-12-07,Grocery,ACC7658
TXN000093,463.25,Shell gas station,gas station,2024-11-13,Gas,ACC4878
TXN000094,441.3,Shell gas station,gas station,2024-03-24,Gas,ACC1406
TXN000095,392.28,Electric bill payment,bill payment,2024-04-01,Utilities,ACC7745
TXN000096,137.07,Doctor appointment co-pay,appointment co-pay,2024-12-08,Healthcare,ACC2771
TXN000097,430.0,Lunch at Olive Garden,at Olive,2024-07-14,Restaurant,ACC4644
TXN000098,178.08,Amazon online purchase,online purchase,2024-04-12,Shopping,ACC4728
TXN000099,331.72,Lunch at Olive Garden,at Olive,2024-04-24,Restaurant,ACC7528
TXN000100,432.85,Movie tickets Cinemark,tickets Cinemark,2024-06-17,Entertainment,ACC5573
TXN000101,202.84,Car insurance monthly,insurance monthly,2024-06-28,Insurance,ACC9785
TXN000102,62.09,Lunch at Olive Garden,at Olive,2024-06-18,Restaurant,ACC5279
TXN000103,481.45,Netflix monthly subscription,monthly subscription,2024-04-01,Subscriptions,ACC5349
TXN000104,300.3,Walmart grocery shopping,grocery shopping,2024-01-20,Grocery,ACC6663
TXN000105,305.07,Uber ride to downtown,ride to,2024-06-09,Transportation,ACC9379
TXN000106,450.25,Uber ride to downtown,ride to,2024-02-29,Transportation,ACC4114
TXN000107,355.85,Lunch at Olive Garden,at Olive,2024-05-10,Restaurant,ACC1027
TXN000108,344.99,Car insurance monthly,insurance monthly,2024-09-23,Insurance,ACC4228
TXN000109,39.64,Uber ride to downtown,ride to,2024-07-05,Transportation,ACC6409
TXN000110,333.38,Electric bill payment,bill payment,2024-11-15,Utilities,ACC3041
TXN000111,158.1,Car insurance monthly,insurance monthly,2024-06-02,Insurance,ACC7691
TXN000112,350.12,Uber ride to downtown,ride to,2024-06-16,Transportation,ACC3085
TXN000113,334.14,Uber ride to downtown,ride to,2024-04-08,Transportation,ACC7211
TXN000114,309.68,Shell gas station,gas station,2024-12-12,Gas,ACC5930
TXN000115,417.69,Car insurance monthly,insurance monthly,2024-07-26,Insurance,ACC5978
TXN000116,217.79,Doctor appointment co-pay,appointment co-pay,2024-05-26,Healthcare,ACC6279
TXN000117,223.87,Amazon online purchase,online purchase,2024-08-26,Shopping,ACC4501
TXN000118,397.9,Amazon online purchase,online purchase,2024-09-18,Shopping,ACC3780
TXN000119,145.47,Walmart grocery shopping,grocery shopping,2024-12-03,Grocery,ACC6491
TXN000120,338.03,Doctor appointment co-pay,appointment co-pay,2024-02-17,Healthcare,ACC4680
TXN000121,17.09,Shell gas station,gas station,2024-04-11,Gas,ACC5011
TXN000122,425.62,Netflix monthly subscription,monthly subscription,2024-08-31,Subscriptions,ACC2193
TXN000123,443.64,Uber ride to downtown,ride to,2024-08-21,Transportation,ACC4185
TXN000124,249.72,Uber ride to downtown,ride to,2024-12-22,Transportation,ACC4997
TXN000125,446.87,Lunch at Olive Garden,at Olive,2024-03-16,Restaurant,ACC2746
TXN000126,92.06,Doctor appointment co-pay,appointment co-pay,2024-08-05,Healthcare,ACC9486
TXN000127,280.92,Lunch at Olive Garden,at Olive,2024-08-25,Restaurant,ACC2988
TXN000128,401.7,Shell gas station,gas station,2024-08-21,Gas,ACC9702
TXN000129,162.06,Netflix monthly subscription,monthly subscription,2024-10-13,Subscriptions,ACC8251
TXN000130,216.24,Car insurance monthly,insurance monthly,2024-11-09,Insurance,ACC9976
TXN000131,373.11,Shell gas station,gas station,2024-08-16,Gas,ACC8777
TXN000132,377.13,Movie tickets Cinemark,tickets Cinemark,2024-08-18,Entertainment,ACC5543
TXN000133,315.24,Amazon online purchase,online purchase,2024-09-23,Shopping,ACC5499
TXN000134,358.2,Walmart grocery shopping,grocery shopping,2024-08-13,Grocery,ACC4841
TXN000135,163.26,Electric bill payment,bill payment,2024-05-19,Utilities,ACC9849
TXN000136,79.66,Shell gas station,gas station,2024-02-11,Gas,ACC7275
TXN000137,354.68,Shell gas station,gas station,2024-12-21,Gas,ACC2052
TXN000138,168.79,Uber ride to downtown,ride to,2024-07-31,Transportation,ACC8633
TXN000139,107.38,Lunch at Olive Garden,at Olive,2024-07-31,Restaurant,ACC7883
TXN000140,473.3,Netflix monthly subscription,monthly subscription,2024-07-18,Subscriptions,ACC1320
TXN000141,241.1,Uber ride to downtown,ride to,2024-10-21,Transportation,ACC6763
TXN000142,427.46,Uber ride to downtown,ride to,2024-06-01,Transportation,ACC7865
TXN000143,400.93,Car insurance monthly,insurance monthly,2024-10-02,Insurance,ACC4613
TXN000144,140.1,Doctor appointment co-pay,appointment co-pay,2024-09-06,Healthcare,ACC8956
TXN000145,171.38,Uber ride to downtown,ride to,2024-01-15,Transportation,ACC7624
TXN000146,460.17,Amazon online purchase,online purchase,2024-03-25,Shopping,ACC9751
TXN000147,297.99,Uber ride to downtown,ride to,2024-01-14,Transportation,ACC1444
TXN000148,72.17,Uber ride to downtown,ride to,2024-02-12,Transportation,ACC8564
TXN000149,133.78,Lunch at Olive Garden,at Olive,2024-04-03,Restaurant,ACC6363
TXN000150,166.79,Amazon online purchase,online purchase,2024-04-18,Shopping,ACC7211
TXN000151,129.87,Uber ride to downtown,ride to,2024-05-22,Transportation,ACC2341
TXN000152,375.77,Lunch at Olive Garden,at Olive,2024-08-28,Restaurant,ACC1853
TXN000153,326.82,Doctor appointment co-pay,appointment co-pay,2024-06-28,Healthcare,ACC1659
TXN000154,103.68,Doctor appointment co-pay,appointment co-pay,2024-01-16,Healthcare,ACC1333
TXN000155,123.08,Shell gas station,gas station,2024-11-14,Gas,ACC8758
TXN000156,284.16,Walmart grocery shopping,grocery shopping,2024-12-08,Grocery,ACC4571
TXN000157,384.61,Movie tickets Cinemark,tickets Cinemark,2024-08-26,Entertainment,ACC3749
TXN000158,482.05,Netflix monthly subscription,monthly subscription,2024-11-06,Subscriptions,ACC2876
TXN000159,58.51,Movie tickets Cinemark,tickets Cinemark,2024-03-24,Entertainment,ACC1420
TXN000160,340.29,Netflix monthly subscription,monthly subscription,2024-06-08,Subscriptions,ACC7149
TXN000161,42.62,Doctor appointment co-pay,appointment co-pay,2024-07-22,Healthcare,ACC4978
TXN000162,425.9,Movie tickets Cinemark,tickets Cinemark,2024-02-22,Entertainment,ACC2983
TXN000163,176.87,Lunch at Olive Garden,at Olive,2024-10-16,Restaurant,ACC8018
TXN000164,39.13,Electric bill payment,bill payment,2024-12-04,Utilities,ACC6590
TXN000165,412.05,Uber ride to downtown,ride to,2024-01-07,Transportation,ACC2729
TXN000166,319.61,Electric bill payment,bill payment,2024-08-09,Utilities,ACC8532
TXN000167,220.57,Shell gas station,gas station,2024-12-28,Gas,ACC9548
TXN000168,309.88,Movie tickets Cinemark,tickets Cinemark,2024-11-29,Entertainment,ACC9817
TXN000169,220.61,Amazon online purchase,online purchase,2024-09-04,Shopping,ACC5397
TXN000170,416.21,Doctor appointment co-pay,appointment co-pay,2024-06-14,Healthcare,ACC2419
TXN000171,125.71,Amazon online purchase,online purchase,2024-05-22,Shopping,ACC8613
TXN000172,335.75,Netflix monthly subscription,monthly subscription,2024-10-18,Subscriptions,ACC6511
TXN000173,426.22,Amazon online purchase,online purchase,2024-01-15,Shopping,ACC3979
TXN000174,180.64,Doctor appointment co-pay,appointment co-pay,2024-09-06,Healthcare,ACC5232
TXN000175,440.76,Movie tickets Cinemark,tickets Cinemark,2024-06-23,Entertainment,ACC5526
TXN000176,260.73,Lunch at Olive Garden,at Olive,2024-10-11,Restaurant,ACC4130
TXN000177,361.44,Doctor appointment co-pay,appointment co-pay,2024-02-13,Healthcare,ACC9004
TXN000178,346.85,Doctor appointment co-pay,appointment co-pay,2024-10-11,Healthcare,ACC9041
TXN000179,51.06,Lunch at Olive Garden,at Olive,2024-08-17,Restaurant,ACC4630
TXN000180,156.57,Doctor appointment co-pay,appointment co-pay,2024-07-26,Healthcare,ACC7046
TXN000181,267.81,Car insurance monthly,insurance monthly,2024-08-30,Insurance,ACC7971
TXN000182,179.15,Electric bill payment,bill payment,2024-10-08,Utilities,ACC8434
TXN000183,129.44,Movie tickets Cinemark,tickets Cinemark,2024-05-18,Entertainment,ACC2976
TXN000184,64.18,Electric bill payment,bill payment,2024-04-08,Utilities,ACC9779
TXN000185,99.81,Shell gas station,gas station,2024-12-19,Gas,ACC8933
TXN000186,488.42,Netflix monthly subscription,monthly subscription,2024-05-21,Subscriptions,ACC9595
TXN000187,490.35,Movie tickets Cinemark,tickets Cinemark,2024-11-01,Entertainment,ACC4180
TXN000188,183.64,Doctor appointment co-pay,appointment co-pay,2024-05-31,Healthcare,ACC5952
TXN000189,67.66,Car insurance monthly,insurance monthly,2024-01-08,Insurance,ACC1745
TXN000190,149.61,Car insurance monthly,insurance monthly,2024-01-28,Insurance,ACC3068
TXN000191,55.78,Amazon online purchase,online purchase,2024-11-22,Shopping,ACC1200
TXN000192,237.35,Movie tickets Cinemark,tickets Cinemark,2024-10-20,Entertainment,ACC8216
TXN000193,482.92,Shell gas station,gas station,2024-06-23,Gas,ACC5136
TXN000194,411.95,Walmart grocery shopping,grocery shopping,2024-09-01,Grocery,ACC7565
TXN000195,290.63,Walmart grocery shopping,grocery shopping,2024-09-08,Grocery,ACC1878
TXN000196,406.52,Shell gas station,gas station,2024-03-18,Gas,ACC5978
TXN000197,63.63,Doctor appointment co-pay,appointment co-pay,2024-02-13,Healthcare,ACC7818
TXN000198,396.42,Netflix monthly subscription,monthly subscription,2024-11-06,Subscriptions,ACC4697
TXN000199,228.0,Uber ride to downtown,ride to,2024-09-24,Transportation,ACC8253
TXN000200,495.07,Netflix monthly subscription,monthly subscription,2024-06-01,Subscriptions,ACC6003
TXN000201,34.81,Netflix monthly subscription,monthly subscription,2024-10-18,Subscriptions,ACC2625
TXN000202,136.0,Doctor appointment co-pay,appointment co-pay,2024-04-16,Healthcare,ACC2330
TXN000203,91.04,Doctor appointment co-pay,appointment co-pay,2024-03-21,Healthcare,ACC2229
TXN000204,207.22,Lunch at Olive Garden,at Olive,2024-03-21,Restaurant,ACC8699
TXN000205,119.58,Lunch at Olive Garden,at Olive,2024-05-29,Restaurant,ACC5632
TXN000206,40.23,Amazon online purchase,online purchase,2024-12-25,Shopping,ACC4824
TXN000207,332.29,Netflix monthly subscription,monthly subscription,2024-05-15,Subscriptions,ACC4241
TXN000208,274.56,Walmart grocery shopping,grocery shopping,2024-08-05,Grocery,ACC3441
TXN000209,40.35,Shell gas station,gas station,2024-05-16,Gas,ACC3718
TXN000210,375.73,Netflix monthly subscription,monthly subscription,2024-06-06,Subscriptions,ACC5728
TXN000211,237.01,Walmart grocery shopping,grocery shopping,2024-08-12,Grocery,ACC5982
TXN000212,471.62,Uber ride to downtown,ride to,2024-12-24,Transportation,ACC9199
TXN000213,221.69,Amazon online purchase,online purchase,2024-10-03,Shopping,ACC1653
TXN000214,303.84,Electric bill payment,bill payment,2024-08-09,Utilities,ACC1423
TXN000215,481.15,Doctor appointment co-pay,appointment co-pay,2024-02-16,Healthcare,ACC1339
TXN000216,290.24,Movie tickets Cinemark,tickets Cinemark,2024-12-10,Entertainment,ACC3870
TXN000217,327.5,Car insurance monthly,insurance monthly,2024-08-28,Insurance,ACC5557
TXN000218,220.76,Netflix monthly subscription,monthly subscription,2024-04-02,Subscriptions,ACC9056
TXN000219,177.24,Amazon online purchase,online purchase,2024-02-16,Shopping,ACC6460
TXN000220,429.58,Walmart grocery shopping,grocery shopping,2024-06-13,Grocery,ACC6403
TXN000221,147.67,Amazon online purchase,online purchase,2024-07-29,Shopping,ACC7561
TXN000222,230.14,Lunch at Olive Garden,at Olive,2024-10-08,Restaurant,ACC6153
TXN000223,62.38,Electric bill payment,bill payment,2024-05-09,Utilities,ACC7622
TXN000224,330.54,Lunch at Olive Garden,at Olive,2024-09-20,Restaurant,ACC9889
TXN000225,31.83,Uber ride to downtown,ride to,2024-08-24,Transportation,ACC9494
TXN000226,379.44,Netflix monthly subscription,monthly subscription,2024-07-04,Subscriptions,ACC8242
TXN000227,137.19,Doctor appointment co-pay,appointment co-pay,2024-01-27,Healthcare,ACC3146
TXN000228,441.02,Amazon online purchase,online purchase,2024-05-27,Shopping,ACC8941
TXN000229,486.71,Lunch at Olive Garden,at Olive,2024-03-03,Restaurant,ACC4920
TXN000230,158.82,Shell gas station,gas station,2024-12-29,Gas,ACC1224
TXN000231,51.14,Uber ride to downtown,ride to,2024-10-09,Transportation,ACC2858
TXN000232,325.62,Walmart grocery shopping,grocery shopping,2024-08-24,Grocery,ACC3522
TXN000233,256.89,Movie tickets Cinemark,tickets Cinemark,2024-09-12,Entertainment,ACC5479
TXN000234,490.22,Amazon online purchase,online purchase,2024-07-31,Shopping,ACC4993
TXN000235,76.6,Car insurance monthly,insurance monthly,2024-08-21,Insurance,ACC4122
TXN000236,374.41,Car insurance monthly,insurance monthly,2024-11-02,Insurance,ACC3236
TXN000237,387.47,Movie tickets Cinemark,tickets Cinemark,2024-02-05,Entertainment,ACC7798
TXN000238,137.25,Car insurance monthly,insurance monthly,2024-06-23,Insurance,ACC1042
TXN000239,419.55,Movie tickets Cinemark,tickets Cinemark,2024-05-24,Entertainment,ACC9022
TXN000240,271.6,Amazon online purchase,online purchase,2024-03-17,Shopping,ACC6654
TXN000241,382.62,Car insurance monthly,insurance monthly,2024-06-19,Insurance,ACC7180
TXN000242,435.45,Electric bill payment,bill payment,2024-08-21,Utilities,ACC4912
TXN000243,120.61,Uber ride to downtown,ride to,2024-10-19,Transportation,ACC7730
TXN000244,373.63,Electric bill payment,bill payment,2024-01-23,Utilities,ACC7246
TXN000245,250.19,Shell gas station,gas station,2024-07-16,Gas,ACC1606
TXN000246,482.85,Car insurance monthly,insurance monthly,2024-03-05,Insurance,ACC6439
TXN000247,54.36,Amazon online purchase,online purchase,2024-02-21,Shopping,ACC8486
TXN000248,207.94,Shell gas station,gas station,2024-01-08,Gas,ACC3529
TXN000249,391.86,Amazon online purchase,online purchase,2024-02-08,Shopping,ACC5342
TXN000250,347.89,Netflix monthly subscription,monthly subscription,2024-06-22,Subscriptions,ACC2315
TXN000251,193.1,Car insurance monthly,insurance monthly,2024-06-17,Insurance,ACC6188
TXN000252,436.83,Amazon online purchase,online purchase,2024-11-16,Shopping,ACC1588
TXN000253,121.21,Walmart grocery shopping,grocery shopping,2024-11-12,Grocery,ACC5708
TXN000254,219.82,Walmart grocery shopping,grocery shopping,2024-04-26,Grocery,ACC2612
TXN000255,224.62,Walmart grocery shopping,grocery shopping,2024-11-20,Grocery,ACC5906
TXN000256,165.57,Lunch at Olive Garden,at Olive,2024-01-15,Restaurant,ACC1919
TXN000257,190.55,Electric bill payment,bill payment,2024-05-30,Utilities,ACC3385
TXN000258,208.97,Car insurance monthly,insurance monthly,2024-05-05,Insurance,ACC3950
TXN000259,44.09,Shell gas station,gas station,2024-03-28,Gas,ACC7267
TXN000260,251.35,Doctor appointment co-pay,appointment co-pay,2024-11-13,Healthcare,ACC3344
TXN000261,320.76,Amazon online purchase,online purchase,2024-04-28,Shopping,ACC8529
TXN000262,449.96,Lunch at Olive Garden,at Olive,2024-05-10,Restaurant,ACC8622
TXN000263,83.2,Car insurance monthly,insurance monthly,2024-05-27,Insurance,ACC8237
TXN000264,153.08,Netflix monthly subscription,monthly subscription,2024-06-25,Subscriptions,ACC7951
TXN000265,231.13,Movie tickets Cinemark,tickets Cinemark,2024-12-19,Entertainment,ACC5949
TXN000266,427.4,Uber ride to downtown,ride to,2024-04-11,Transportation,ACC2747
TXN000267,288.1,Uber ride to downtown,ride to,2024-05-01,Transportation,ACC5847
TXN000268,15.86,Movie tickets Cinemark,tickets Cinemark,2024-12-24,Entertainment,ACC7484
TXN000269,285.13,Lunch at Olive Garden,at Olive,2024-05-20,Restaurant,ACC1803
TXN000270,417.26,Amazon online purchase,online purchase,2024-11-06,Shopping,ACC5689
TXN000271,401.96,Netflix monthly subscription,monthly subscription,2024-04-27,Subscriptions,ACC4588
TXN000272,312.34,Doctor appointment co-pay,appointment co-pay,2024-11-21,Healthcare,ACC3240
TXN000273,452.18,Walmart grocery shopping,grocery shopping,2024-11-17,Grocery,ACC1645
TXN000274,21.52,Amazon online purchase,online purchase,2024-06-07,Shopping,ACC6977
TXN000275,455.27,Walmart grocery shopping,grocery shopping,2024-03-08,Grocery,ACC6352
TXN000276,104.39,Shell gas station,gas station,2024-07-31,Gas,ACC9837
TXN000277,253.39,Car insurance monthly,insurance monthly,2024-07-06,Insurance,ACC5465
TXN000278,457.45,Movie tickets Cinemark,tickets Cinemark,2024-03-25,Entertainment,ACC8894
TXN000279,403.1,Electric bill payment,bill payment,2024-05-31,Utilities,ACC8673
TXN000280,378.3,Shell gas station,gas station,2024-02-08,Gas,ACC4696
TXN000281,483.8,Uber ride to downtown,ride to,2024-12-12,Transportation,ACC6992
TXN000282,11.89,Uber ride to downtown,ride to,2024-02-16,Transportation,ACC9791
TXN000283,187.45,Amazon online purchase,online purchase,2024-03-04,Shopping,ACC5295
TXN000284,412.1,Uber ride to downtown,ride to,2024-10-26,Transportation,ACC7086
TXN000285,238.38,Doctor appointment co-pay,appointment co-pay,2024-02-25,Healthcare,ACC6374
TXN000286,325.59,Doctor appointment co-pay,appointment co-pay,2024-11-08,Healthcare,ACC8606
TXN000287,326.37,Movie tickets Cinemark,tickets Cinemark,2024-12-24,Entertainment,ACC2911
TXN000288,473.4,Lunch at Olive Garden,at Olive,2024-03-12,Restaurant,ACC5986
TXN000289,53.11,Walmart grocery shopping,grocery shopping,2024-09-09,Grocery,ACC9807
TXN000290,229.55,Uber ride to downtown,ride to,2024-03-10,Transportation,ACC9850
TXN000291,372.42,Netflix monthly subscription,monthly subscription,2024-08-02,Subscriptions,ACC3531
TXN000292,417.68,Walmart grocery shopping,grocery shopping,2024-07-31,Grocery,ACC7686
TXN000293,346.69,Lunch at Olive Garden,at Olive,2024-05-23,Restaurant,ACC4559
TXN000294,475.52,Amazon online purchase,online purchase,2024-08-15,Shopping,ACC6942
TXN000295,274.51,Electric bill payment,bill payment,2024-02-20,Utilities,ACC6876
TXN000296,141.56,Uber ride to downtown,ride to,2024-02-01,Transportation,ACC3001
TXN000297,333.07,Walmart grocery shopping,grocery shopping,2024-08-20,Grocery,ACC1349
TXN000298,125.57,Electric bill payment,bill payment,2024-01-26,Utilities,ACC3063
TXN000299,38.96,Doctor appointment co-pay,appointment co-pay,2024-10-16,Healthcare,ACC4394
TXN000300,407.46,Doctor appointment co-pay,appointment co-pay,2024-10-27,Healthcare,ACC4817
TXN000301,395.38,Shell gas station,gas station,2024-06-17,Gas,ACC1046
TXN000302,493.83,Shell gas station,gas station,2024-05-21,Gas,ACC9850
TXN000303,59.41,Shell gas station,gas station,2024-05-08,Gas,ACC1422
TXN000304,182.33,Lunch at Olive Garden,at Olive,2024-03-08,Restaurant,ACC4898
TXN000305,12.81,Electric bill payment,bill payment,2024-10-28,Utilities,ACC5347
TXN000306,372.15,Shell gas station,gas station,2024-01-27,Gas,ACC9619
TXN000307,240.74,Walmart grocery shopping,grocery shopping,2024-02-28,Grocery,ACC6931
TXN000308,58.98,Netflix monthly subscription,monthly subscription,2024-09-19,Subscriptions,ACC9254
TXN000309,26.47,Netflix monthly subscription,monthly subscription,2024-04-23,Subscriptions,ACC9543
TXN000310,323.45,Amazon online purchase,online purchase,2024-06-03,Shopping,ACC1510
TXN000311,424.41,Amazon online purchase,online purchase,2024-02-01,Shopping,ACC7984
TXN000312,247.68,Walmart grocery shopping,grocery shopping,2024-12-17,Grocery,ACC8267
