transaction_id,description,ai_category,original_category,confidence
TXN000050,Car insurance monthly,Insurance,Insurance,0.85
TXN000051,Amazon online purchase,Shopping,Shopping,0.85
TXN000052,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000053,Uber ride to downtown,Transportation,Transportation,0.85
TXN000054,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000055,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000056,Shell gas station,Gas,Gas,0.85
TXN000057,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000058,Car insurance monthly,Insurance,Insurance,0.85
TXN000059,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000060,Uber ride to downtown,Transportation,Transportation,0.85
TXN000061,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000062,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000063,Uber ride to downtown,Transportation,Transportation,0.85
TXN000064,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000065,Car insurance monthly,Insurance,Insurance,0.85
TXN000066,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000067,Shell gas station,Gas,Gas,0.85
TXN000068,Shell gas station,Gas,Gas,0.85
TXN000069,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000070,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000071,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000072,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000073,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000074,Electric bill payment,Utilities,Utilities,0.85
TXN000075,Amazon online purchase,Shopping,Shopping,0.85
TXN000076,Car insurance monthly,Insurance,Insurance,0.85
TXN000077,Electric bill payment,Utilities,Utilities,0.85
TXN000078,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000079,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000080,Car insurance monthly,Insurance,Insurance,0.85
TXN000081,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000082,Shell gas station,Gas,Gas,0.85
TXN000083,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000084,Amazon online purchase,Shopping,Shopping,0.85
TXN000085,Uber ride to downtown,Transportation,Transportation,0.85
TXN000086,Electric bill payment,Utilities,Utilities,0.85
TXN000087,Amazon online purchase,Shopping,Shopping,0.85
TXN000088,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000089,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000090,Shell gas station,Gas,Gas,0.85
TXN000091,Electric bill payment,Utilities,Utilities,0.85
TXN000092,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000093,Shell gas station,Gas,Gas,0.85
TXN000094,Shell gas station,Gas,Gas,0.85
TXN000095,Electric bill payment,Utilities,Utilities,0.85
TXN000096,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000097,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000098,Amazon online purchase,Shopping,Shopping,0.85
TXN000099,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000100,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000101,Car insurance monthly,Insurance,Insurance,0.85
TXN000102,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000103,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000104,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000105,Uber ride to downtown,Transportation,Transportation,0.85
TXN000106,Uber ride to downtown,Transportation,Transportation,0.85
TXN000107,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000108,Car insurance monthly,Insurance,Insurance,0.85
TXN000109,Uber ride to downtown,Transportation,Transportation,0.85
TXN000110,Electric bill payment,Utilities,Utilities,0.85
TXN000111,Car insurance monthly,Insurance,Insurance,0.85
TXN000112,Uber ride to downtown,Transportation,Transportation,0.85
TXN000113,Uber ride to downtown,Transportation,Transportation,0.85
TXN000114,Shell gas station,Gas,Gas,0.85
TXN000115,Car insurance monthly,Insurance,Insurance,0.85
TXN000116,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000117,Amazon online purchase,Shopping,Shopping,0.85
TXN000118,Amazon online purchase,Shopping,Shopping,0.85
TXN000119,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000120,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000121,Shell gas station,Gas,Gas,0.85
TXN000122,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000123,Uber ride to downtown,Transportation,Transportation,0.85
TXN000124,Uber ride to downtown,Transportation,Transportation,0.85
TXN000125,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000126,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000127,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000128,Shell gas station,Gas,Gas,0.85
TXN000129,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000130,Car insurance monthly,Insurance,Insurance,0.85
TXN000131,Shell gas station,Gas,Gas,0.85
TXN000132,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000133,Amazon online purchase,Shopping,Shopping,0.85
TXN000134,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000135,Electric bill payment,Utilities,Utilities,0.85
TXN000136,Shell gas station,Gas,Gas,0.85
TXN000137,Shell gas station,Gas,Gas,0.85
TXN000138,Uber ride to downtown,Transportation,Transportation,0.85
TXN000139,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000140,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000141,Uber ride to downtown,Transportation,Transportation,0.85
TXN000142,Uber ride to downtown,Transportation,Transportation,0.85
TXN000143,Car insurance monthly,Insurance,Insurance,0.85
TXN000144,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000145,Uber ride to downtown,Transportation,Transportation,0.85
TXN000146,Amazon online purchase,Shopping,Shopping,0.85
TXN000147,Uber ride to downtown,Transportation,Transportation,0.85
TXN000148,Uber ride to downtown,Transportation,Transportation,0.85
TXN000149,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000150,Amazon online purchase,Shopping,Shopping,0.85
TXN000151,Uber ride to downtown,Transportation,Transportation,0.85
TXN000152,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000153,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000154,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000155,Shell gas station,Gas,Gas,0.85
TXN000156,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000157,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000158,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000159,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000160,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000161,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000162,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000163,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000164,Electric bill payment,Utilities,Utilities,0.85
TXN000165,Uber ride to downtown,Transportation,Transportation,0.85
TXN000166,Electric bill payment,Utilities,Utilities,0.85
TXN000167,Shell gas station,Gas,Gas,0.85
TXN000168,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000169,Amazon online purchase,Shopping,Shopping,0.85
TXN000170,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000171,Amazon online purchase,Shopping,Shopping,0.85
TXN000172,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000173,Amazon online purchase,Shopping,Shopping,0.85
TXN000174,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000175,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000176,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000177,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000178,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000179,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000180,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000181,Car insurance monthly,Insurance,Insurance,0.85
TXN000182,Electric bill payment,Utilities,Utilities,0.85
TXN000183,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000184,Electric bill payment,Utilities,Utilities,0.85
TXN000185,Shell gas station,Gas,Gas,0.85
TXN000186,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000187,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000188,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000189,Car insurance monthly,Insurance,Insurance,0.85
TXN000190,Car insurance monthly,Insurance,Insurance,0.85
TXN000191,Amazon online purchase,Shopping,Shopping,0.85
TXN000192,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000193,Shell gas station,Gas,Gas,0.85
TXN000194,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000195,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000196,Shell gas station,Gas,Gas,0.85
TXN000197,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000198,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000199,Uber ride to downtown,Transportation,Transportation,0.85
TXN000200,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000201,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000202,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000203,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000204,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000205,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000206,Amazon online purchase,Shopping,Shopping,0.85
TXN000207,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000208,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000209,Shell gas station,Gas,Gas,0.85
TXN000210,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000211,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000212,Uber ride to downtown,Transportation,Transportation,0.85
TXN000213,Amazon online purchase,Shopping,Shopping,0.85
TXN000214,Electric bill payment,Utilities,Utilities,0.85
TXN000215,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000216,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000217,Car insurance monthly,Insurance,Insurance,0.85
TXN000218,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000219,Amazon online purchase,Shopping,Shopping,0.85
TXN000220,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000221,Amazon online purchase,Shopping,Shopping,0.85
TXN000222,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000223,Electric bill payment,Utilities,Utilities,0.85
TXN000224,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000225,Uber ride to downtown,Transportation,Transportation,0.85
TXN000226,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000227,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000228,Amazon online purchase,Shopping,Shopping,0.85
TXN000229,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000230,Shell gas station,Gas,Gas,0.85
TXN000231,Uber ride to downtown,Transportation,Transportation,0.85
TXN000232,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000233,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000234,Amazon online purchase,Shopping,Shopping,0.85
TXN000235,Car insurance monthly,Insurance,Insurance,0.85
TXN000236,Car insurance monthly,Insurance,Insurance,0.85
TXN000237,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000238,Car insurance monthly,Insurance,Insurance,0.85
TXN000239,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000240,Amazon online purchase,Shopping,Shopping,0.85
TXN000241,Car insurance monthly,Insurance,Insurance,0.85
TXN000242,Electric bill payment,Utilities,Utilities,0.85
TXN000243,Uber ride to downtown,Transportation,Transportation,0.85
TXN000244,Electric bill payment,Utilities,Utilities,0.85
TXN000245,Shell gas station,Gas,Gas,0.85
TXN000246,Car insurance monthly,Insurance,Insurance,0.85
TXN000247,Amazon online purchase,Shopping,Shopping,0.85
TXN000248,Shell gas station,Gas,Gas,0.85
TXN000249,Amazon online purchase,Shopping,Shopping,0.85
TXN000250,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000251,Car insurance monthly,Insurance,Insurance,0.85
TXN000252,Amazon online purchase,Shopping,Shopping,0.85
TXN000253,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000254,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000255,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000256,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000257,Electric bill payment,Utilities,Utilities,0.85
TXN000258,Car insurance monthly,Insurance,Insurance,0.85
TXN000259,Shell gas station,Gas,Gas,0.85
TXN000260,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000261,Amazon online purchase,Shopping,Shopping,0.85
TXN000262,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000263,Car insurance monthly,Insurance,Insurance,0.85
TXN000264,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000265,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000266,Uber ride to downtown,Transportation,Transportation,0.85
TXN000267,Uber ride to downtown,Transportation,Transportation,0.85
TXN000268,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000269,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000270,Amazon online purchase,Shopping,Shopping,0.85
TXN000271,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000272,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000273,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000274,Amazon online purchase,Shopping,Shopping,0.85
TXN000275,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000276,Shell gas station,Gas,Gas,0.85
TXN000277,Car insurance monthly,Insurance,Insurance,0.85
TXN000278,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000279,Electric bill payment,Utilities,Utilities,0.85
TXN000280,Shell gas station,Gas,Gas,0.85
TXN000281,Uber ride to downtown,Transportation,Transportation,0.85
TXN000282,Uber ride to downtown,Transportation,Transportation,0.85
TXN000283,Amazon online purchase,Shopping,Shopping,0.85
TXN000284,Uber ride to downtown,Transportation,Transportation,0.85
TXN000285,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000286,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000287,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000288,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000289,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000290,Uber ride to downtown,Transportation,Transportation,0.85
TXN000291,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000292,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000293,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000294,Amazon online purchase,Shopping,Shopping,0.85
TXN000295,Electric bill payment,Utilities,Utilities,0.85
TXN000296,Uber ride to downtown,Transportation,Transportation,0.85
TXN000297,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000298,Electric bill payment,Utilities,Utilities,0.85
TXN000299,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000300,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000301,Shell gas station,Gas,Gas,0.85
TXN000302,Shell gas station,Gas,Gas,0.85
TXN000303,Shell gas station,Gas,Gas,0.85
TXN000304,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000305,Electric bill payment,Utilities,Utilities,0.85
TXN000306,Shell gas station,Gas,Gas,0.85
TXN000307,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000308,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000309,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000310,Amazon online purchase,Shopping,Shopping,0.85
TXN000311,Amazon online purchase,Shopping,Shopping,0.85
TXN000312,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000313,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000314,Shell gas station,Gas,Gas,0.85
TXN000315,Electric bill payment,Utilities,Utilities,0.85
TXN000316,Amazon online purchase,Shopping,Shopping,0.85
TXN000317,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000318,Amazon online purchase,Shopping,Shopping,0.85
TXN000319,Amazon online purchase,Shopping,Shopping,0.85
TXN000320,Uber ride to downtown,Transportation,Transportation,0.85
TXN000321,Shell gas station,Gas,Gas,0.85
TXN000322,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000323,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000324,Car insurance monthly,Insurance,Insurance,0.85
TXN000325,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000326,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000327,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000328,Amazon online purchase,Shopping,Shopping,0.85
TXN000329,Car insurance monthly,Insurance,Insurance,0.85
TXN000330,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000331,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000332,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000333,Shell gas station,Gas,Gas,0.85
TXN000334,Shell gas station,Gas,Gas,0.85
TXN000335,Car insurance monthly,Insurance,Insurance,0.85
TXN000336,Electric bill payment,Utilities,Utilities,0.85
TXN000337,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000338,Shell gas station,Gas,Gas,0.85
TXN000339,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000340,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000341,Car insurance monthly,Insurance,Insurance,0.85
TXN000342,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000343,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000344,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000345,Shell gas station,Gas,Gas,0.85
TXN000346,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000347,Shell gas station,Gas,Gas,0.85
TXN000348,Car insurance monthly,Insurance,Insurance,0.85
TXN000349,Uber ride to downtown,Transportation,Transportation,0.85
TXN000350,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000351,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000352,Uber ride to downtown,Transportation,Transportation,0.85
TXN000353,Electric bill payment,Utilities,Utilities,0.85
TXN000354,Electric bill payment,Utilities,Utilities,0.85
TXN000355,Uber ride to downtown,Transportation,Transportation,0.85
TXN000356,Uber ride to downtown,Transportation,Transportation,0.85
TXN000357,Electric bill payment,Utilities,Utilities,0.85
TXN000358,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000359,Electric bill payment,Utilities,Utilities,0.85
TXN000360,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000361,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000362,Amazon online purchase,Shopping,Shopping,0.85
TXN000363,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000364,Electric bill payment,Utilities,Utilities,0.85
TXN000365,Amazon online purchase,Shopping,Shopping,0.85
TXN000366,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000367,Amazon online purchase,Shopping,Shopping,0.85
TXN000368,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000369,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000370,Car insurance monthly,Insurance,Insurance,0.85
TXN000371,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000372,Amazon online purchase,Shopping,Shopping,0.85
TXN000373,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000374,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000375,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000376,Car insurance monthly,Insurance,Insurance,0.85
TXN000377,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000378,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000379,Electric bill payment,Utilities,Utilities,0.85
TXN000380,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000381,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000382,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000383,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000384,Car insurance monthly,Insurance,Insurance,0.85
TXN000385,Car insurance monthly,Insurance,Insurance,0.85
TXN000386,Electric bill payment,Utilities,Utilities,0.85
TXN000387,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000388,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000389,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000390,Car insurance monthly,Insurance,Insurance,0.85
TXN000391,Electric bill payment,Utilities,Utilities,0.85
TXN000392,Uber ride to downtown,Transportation,Transportation,0.85
TXN000393,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000394,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000395,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000396,Car insurance monthly,Insurance,Insurance,0.85
TXN000397,Electric bill payment,Utilities,Utilities,0.85
TXN000398,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000399,Uber ride to downtown,Transportation,Transportation,0.85
TXN000400,Shell gas station,Gas,Gas,0.85
TXN000401,Amazon online purchase,Shopping,Shopping,0.85
TXN000402,Car insurance monthly,Insurance,Insurance,0.85
TXN000403,Shell gas station,Gas,Gas,0.85
TXN000404,Uber ride to downtown,Transportation,Transportation,0.85
TXN000405,Electric bill payment,Utilities,Utilities,0.85
TXN000406,Uber ride to downtown,Transportation,Transportation,0.85
TXN000407,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000408,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000409,Shell gas station,Gas,Gas,0.85
TXN000410,Shell gas station,Gas,Gas,0.85
TXN000411,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000412,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000413,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000414,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000415,Uber ride to downtown,Transportation,Transportation,0.85
TXN000416,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000417,Car insurance monthly,Insurance,Insurance,0.85
TXN000418,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000419,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000420,Uber ride to downtown,Transportation,Transportation,0.85
TXN000421,Electric bill payment,Utilities,Utilities,0.85
TXN000422,Car insurance monthly,Insurance,Insurance,0.85
TXN000423,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000424,Uber ride to downtown,Transportation,Transportation,0.85
TXN000425,Electric bill payment,Utilities,Utilities,0.85
TXN000426,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000427,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000428,Shell gas station,Gas,Gas,0.85
TXN000429,Amazon online purchase,Shopping,Shopping,0.85
TXN000430,Amazon online purchase,Shopping,Shopping,0.85
TXN000431,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000432,Car insurance monthly,Insurance,Insurance,0.85
TXN000433,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000434,Electric bill payment,Utilities,Utilities,0.85
TXN000435,Electric bill payment,Utilities,Utilities,0.85
TXN000436,Uber ride to downtown,Transportation,Transportation,0.85
TXN000437,Shell gas station,Gas,Gas,0.85
TXN000438,Car insurance monthly,Insurance,Insurance,0.85
TXN000439,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000440,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000441,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000442,Amazon online purchase,Shopping,Shopping,0.85
TXN000443,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000444,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000445,Car insurance monthly,Insurance,Insurance,0.85
TXN000446,Shell gas station,Gas,Gas,0.85
TXN000447,Shell gas station,Gas,Gas,0.85
TXN000448,Uber ride to downtown,Transportation,Transportation,0.85
TXN000449,Shell gas station,Gas,Gas,0.85
TXN000450,Amazon online purchase,Shopping,Shopping,0.85
TXN000451,Electric bill payment,Utilities,Utilities,0.85
TXN000452,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000453,Car insurance monthly,Insurance,Insurance,0.85
TXN000454,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000455,Movie tickets Cinemark,Entertainment,Entertainment,0.85
